,Group,Title,,date,likes,comment,sentiment
0,NMIXX,별별별 (See that),,2024-08-19T09:01:15Z,0,와씨 이번 컴백곡 미쳤다 (아직 안봄) 보고 왔는데 개지리누 춤연습 영상 빨리 빨리 올라와라!!,2
1,NMIXX,별별별 (See that),,2024-08-19T09:04:49Z,0,오늘만 기다렸다,2
2,NMIXX,Party O’Clock,,2023-07-11T19:22:59Z,0,아니 노래들이 점점 그냥 대중적으로 가자 제발 음악성 어쩌고저쩌고 모르겠고 듣기 편하고 신나는걸로 가자,1
3,NMIXX,Party O’Clock,,2023-07-12T10:27:02Z,4,근데 뉴진스 원래 조회수는 잘 안나옴 데뷔곡부터도 조회수 밀리는데,1
4,NMIXX,蜚蜚 (FEIFEI),,2024-07-31T21:00:17Z,0,짜증나네.. 하필 ㅉㄲ 어로 노랠 부르다니..,0
5,NMIXX,별별별 (See that),,2024-08-19T09:00:43Z,1,와 미쳤다(아직안봄),2
6,NMIXX,별별별 (See that),,2024-08-23T07:47:08Z,2,요즘 지우 설윤 많이 밀어주는 것 같아서 좋음 그렇다고 기존에 밀어줬던 멤버들도 다 맞는 파트 주고 .. 요즘 일 잘하는 듯,2
7,NMIXX,Love Me Like This,,2023-03-20T09:34:15Z,3,1위 가즈아,2
8,NMIXX,Party O’Clock,,2023-07-11T14:09:46Z,0,새청바지들을 상대하기엔 많이 부족하다 너무 의식해서 오바하지 않길 바람,1
9,NMIXX,Soñar (Breaker),,2023-12-04T15:28:39Z,10,엔믹스스러워서 좋네 o.o랑 다이스 개좋아했어서…규진님은 진짜 미쳤다,2
10,NMIXX,Party O’Clock,,2023-07-11T09:44:07Z,1,하우스풍 케이팝은 언제나 옳다….,2
11,NMIXX,별별별 (See that),,2024-08-20T14:24:34Z,7,니 인생이 훨씬 망함,0
12,NMIXX,O.O,,2022-03-01T08:27:46Z,1,화이팅,2
13,NMIXX,Funky Glitter Christmas,,2022-11-22T20:44:05Z,1,the song is really good keep up the enthusiasm for nmixx. I know nmixx will be more successful next time ! 사랑해 정신,-
14,NMIXX,O.O,,2022-02-22T11:41:02Z,1,KYUJIN 사 랑 해 요 !!!!!!!!!!!!!!!!,2
15,NMIXX,별별별 (See that),,2024-08-19T10:30:26Z,0,안보고싶으면 보질마세여 ㅎ,0
16,NMIXX,"Young, Dumb, Stupid",,2023-03-22T07:57:27Z,5,빌보드 핫 트렌딩 송 1위 추카추카,2
17,NMIXX,O.O,,2022-03-09T13:43:52Z,0,NMIXX Like OOH-AHH(OOH-AHH하게),2
18,NMIXX,DICE,,2022-09-19T10:47:20Z,4,아니 진심으로 엔써로서 화나서 그럼 떡고 미친거임?? 4세대 여돌판 거의 전쟁터인데 진심으로 이런걸로 승산이 있다고 생각한건지...4본부 감 다 뒤진 덕분에 엔믹스가 제왑여돌 최초로 신인상 못받는 그룹이 될거임... 진심 눈물나고 암담함,0
19,NMIXX,DICE,,2022-09-19T09:51:14Z,0,이게 엔믹스다,2
20,NMIXX,별별별 (See that),,2024-08-19T15:11:23Z,1,사실 내심 이번엔 대중적으로 오나 기대했는데 한번 들으니까 대중적이고 뭐고 우린 이게 맞는거같다ㅋㅋㅋㅋㅋㅋ,1
21,NMIXX,蜚蜚 (FEIFEI),,2024-07-31T19:32:17Z,0,뭔 노래인가 했더니 해품달 ost 였네,1
22,NMIXX,별별별 (See that),,2024-08-19T17:36:31Z,21,노래 맛깔난다 진짜.. 이게 엔믹스지,2
23,NMIXX,DICE,,2022-09-19T13:16:21Z,0,지우 진짜 이쁨!!!,2
24,NMIXX,Party O’Clock,,2023-07-11T09:05:54Z,0,와아 3분 왜이렇게 짧아요,2
25,NMIXX,별별별 (See that),,2024-08-23T13:48:21Z,7,인급음 1위까지 약 백만뷰 남음~~ vamos!!!!!!!!!!!,2
26,NMIXX,DASH,,2024-09-20T06:24:06Z,4,NMIXX ()’s Top Popular Songs on YouTube Music! 별별별(See That?) - 35M DASH - 84M Love me Like This - 187M Love is Lonely - 6.6M DICE - 192M,-
27,NMIXX,Soñar (Breaker),,2023-12-04T09:02:03Z,0,이번노래도 대박 나자,2
28,NMIXX,별별별 (See that),,2024-08-19T12:57:48Z,4,아... 대쉬로 고점박고 이번엔 천장 뚫을 줄 알았더니 여기서 브레이크 걸리네;;. 많이 아쉬운데... 또다른 곡이 있는건가,0
29,NMIXX,별별별 (See that),,2024-08-19T09:08:14Z,0,우리 딸들 너무 멋지고 재능이 많아서 매번 놀랍니다!!,2
